"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 15:10:03 WAT 2025","Sun Aug 17 15:10:09 WAT 2025","5755","","Login Validation","","","","Verifying the page title",""
"passed","Sun Aug 17 15:09:47 WAT 2025","Sun Aug 17 15:10:03 WAT 2025","15845","","Login Validation","","","","Login with valid credentials",""
